epoch,train_loss,train_acc,val_loss,val_acc
1,1.0636739545398288,42.77777777777778,0.9718015644285414,42.22222222222222
2,0.8850584546724956,58.88888888888889,0.7347861939006382,73.33333333333333
3,0.7485409696896871,67.5,0.5976371897591485,81.11111111111111
4,0.612886189089881,73.88888888888889,0.5094023664792379,83.33333333333334
5,0.495581035150422,81.11111111111111,0.43004100455178157,86.66666666666667
6,0.4606872578461965,82.77777777777777,0.5362642387549083,77.77777777777779
7,0.47352414859665765,82.22222222222221,0.577203917503357,75.55555555555556
8,0.3169965719183286,89.16666666666667,0.18877298533916473,95.55555555555556
9,0.2461169487900204,91.66666666666666,0.4350405640072293,90.0
10,0.28057797253131866,90.55555555555556,0.2453918096092012,90.0
11,0.2466666132211685,91.38888888888889,0.13890501724349127,93.33333333333333
12,0.1417728058165974,95.83333333333334,0.18221757180160947,93.33333333333333
13,0.17166533751620186,93.33333333333333,0.29604430347681043,88.88888888888889
14,0.15643654515345892,95.0,0.13344480196634928,95.55555555555556
15,0.12900372660822337,96.66666666666667,0.11340454982386695,94.44444444444444
16,0.12044343853162395,95.83333333333334,0.08178477204508251,97.77777777777777
17,0.16180099849071766,94.16666666666667,0.17076603058311673,94.44444444444444
18,0.26543454577525455,89.72222222222223,0.21465132832527162,95.55555555555556
19,0.1847056700123681,94.72222222222221,0.20054071644941965,93.33333333333333
20,0.24894106644723152,91.11111111111111,0.1915151251686944,90.0
21,0.14373031680782636,95.0,0.10551728920804129,95.55555555555556
22,0.11243348651462132,96.11111111111111,0.07458901347385513,98.88888888888889
23,0.06682746282054318,98.61111111111111,0.06717921379539701,98.88888888888889
24,0.06993278219468063,98.33333333333333,0.05157669455640846,98.88888888888889
25,0.039548921667867235,99.44444444444444,0.08588843196630477,95.55555555555556
26,0.10781233149270217,96.66666666666667,0.12366709841622246,95.55555555555556
27,0.10221758364803261,96.11111111111111,0.11508849826123979,96.66666666666667
28,0.06685762111511495,97.77777777777777,0.057624256859223046,98.88888888888889
29,0.048624692194991645,98.61111111111111,0.05183917383352916,97.77777777777777
30,0.02604013339926799,99.72222222222223,0.048093808628618714,98.88888888888889
31,0.017683815573238663,99.72222222222223,0.039718327133191955,98.88888888888889
32,0.11664637847700053,97.22222222222221,0.17574535082611772,92.22222222222223
33,0.2825318501227432,91.66666666666666,0.13556565708584256,96.66666666666667
34,0.17440551246205965,94.44444444444444,0.24310940735869938,92.22222222222223
35,0.11405599034494823,96.66666666666667,0.12436440371804768,96.66666666666667
36,0.074295022421413,97.5,0.0810597509973579,95.55555555555556
37,0.03888862778743108,99.44444444444444,0.049205672244230905,98.88888888888889
38,0.04026875429683262,98.61111111111111,0.08607383680840333,96.66666666666667
39,0.07011616118252277,97.5,0.20554023509224256,93.33333333333333
40,0.1403986660556661,95.0,0.1443341182337867,93.33333333333333
41,0.078678299445245,96.94444444444444,0.08845288331309954,97.77777777777777
42,0.046273156752189,98.61111111111111,0.07776165538363987,95.55555555555556
43,0.05766150334642993,98.33333333333333,0.055354122403595184,97.77777777777777
44,0.03176702553820279,99.16666666666667,0.050967290956113076,97.77777777777777
45,0.03304819500384231,98.88888888888889,0.04058722704648972,97.77777777777777
46,0.0479414134622655,98.05555555555556,0.18535866224103503,92.22222222222223
47,0.03900137148383591,98.33333333333333,0.042417584939135444,98.88888888888889
48,0.11363693900509841,96.11111111111111,0.22227279080284967,88.88888888888889
49,0.11576160362197294,95.55555555555556,0.050541843184166484,98.88888888888889
50,0.09971208586874936,96.94444444444444,0.1453289497229788,94.44444444444444
